23/11/2008,13:27:53,17.80,degrees C,,cara,units,alvin,units,albert,units,alvin,units,albert,units,cara,units,bob,units
23/11/2008,14:9:36,,,,,,,17.50,degrees C,
23/11/2008,14:9:36,17.12,degrees C,,,,,,,
23/11/2008,14:9:36,,,,,17.56,degrees C,,,
23/11/2008,14:9:37,,,18.11,degrees C,,,,,
23/11/2008,14:9:37,,,,,,,16.57,degrees C,
23/11/2008,14:9:37,18.5,degrees C,,,,,,,
23/11/2008,14:9:37,,,,,17.56,degrees C,,,
23/11/2008,14:9:38,,,18.11,degrees C,,,,,
23/11/2008,14:9:38,,,,,,,16.51,degrees C,
23/11/2008,14:9:38,17.12,degrees C,,,,,,,
23/11/2008,14:9:38,,,,,17.56,degrees C,,,
23/11/2008,14:9:39,,,18.11,degrees C,,,,,
23/11/2008,14:9:39,,,,,,,17.50,degrees C,
23/11/2008,14:9:39,17.12,degrees C,,,,,,,
23/11/2008,14:9:39,,,,,17.56,degrees C,,,
23/11/2008,14:9:40,,,18.11,degrees C,,,,,
23/11/2008,14:9:40,,,,,,,17.56,degrees C,
23/11/2008,14:9:40,17.12,degrees C,,,,,,,
23/11/2008,14:9:40,,,,,17.56,degrees C,,,
23/11/2008,14:9:41,,,18.5,degrees C,,,,,
23/11/2008,14:9:41,,,,,,,17.50,degrees C,
23/11/2008,14:9:41,17.12,degrees C,,,,,,,
23/11/2008,14:9:41,,,,,17.56,degrees C,,,
23/11/2008,14:9:42,,,18.11,degrees C,,,,,
23/11/2008,14:9:42,,,,,,,17.50,degrees C,
23/11/2008,14:9:42,17.12,degrees C,,,,,,,
23/11/2008,14:9:42,,,,,17.56,degrees C,,,
23/11/2008,14:9:43,,,18.11,degrees C,,,,,
23/11/2008,14:9:43,,,,,,,16.57,degrees C,
23/11/2008,14:9:43,17.12,degrees C,,,,,,,
23/11/2008,14:9:43,,,,,17.56,degrees C,,,
23/11/2008,14:9:44,,,18.11,degrees C,,,,,
23/11/2008,14:9:44,17.12,degrees C,,,,,,,
23/11/2008,14:9:44,,,,,,,17.50,degrees C,
23/11/2008,14:9:45,,,18.11,degrees C,,,,,
23/11/2008,14:9:45,17.12,degrees C,,,,,,,
23/11/2008,14:9:45,,,,,,,17.44,degrees C,
23/11/2008,14:9:46,,,18.11,degrees C,,,,,
23/11/2008,14:9:46,17.12,degrees C,,,,,,,
23/11/2008,14:9:46,,,,,,,17.50,degrees C,
23/11/2008,14:9:47,,,18.11,degrees C,,,,,
23/11/2008,14:9:47,17.12,degrees C,,,,,,,
23/11/2008,14:9:47,,,,,,,17.50,degrees C,
23/11/2008,14:9:48,,,18.11,degrees C,,,,,
23/11/2008,14:9:48,17.12,degrees C,,,,,,,
23/11/2008,14:9:48,,,,,,,16.63,degrees C,
23/11/2008,14:9:49,,,18.18,degrees C,,,,,
23/11/2008,14:9:49,17.12,degrees C,,,,,,,
23/11/2008,14:9:49,,,,,,,16.69,degrees C,
23/11/2008,14:9:50,,,18.18,degrees C,,,,,
23/11/2008,14:9:50,17.12,degrees C,,,,,,,
23/11/2008,14:9:50,,,,,,,16.57,degrees C,
23/11/2008,14:9:51,,,18.11,degrees C,,,,,
23/11/2008,14:9:51,17.12,degrees C,,,,,,,
23/11/2008,14:9:51,,,,,,,17.56,degrees C,
23/11/2008,14:9:52,17.12,degrees C,,,,,,,
23/11/2008,14:9:52,,,18.11,degrees C,,,,,
23/11/2008,14:9:52,,,,,,,16.63,degrees C,
23/11/2008,14:9:53,17.12,degrees C,,,,,,,
23/11/2008,14:9:53,,,18.11,degrees C,,,,,
23/11/2008,14:9:53,,,,,,,16.63,degrees C,
23/11/2008,14:9:54,17.12,degrees C,,,,,,,
23/11/2008,14:9:54,,,18.11,degrees C,,,,,
23/11/2008,14:9:54,,,,,,,16.63,degrees C,
23/11/2008,14:9:55,17.12,degrees C,,,,,,,
23/11/2008,14:9:55,,,,,,,17.56,degrees C,
23/11/2008,14:9:56,17.12,degrees C,,,,,,,
23/11/2008,14:9:56,,,18.11,degrees C,,,,,
23/11/2008,14:9:56,,,,,,,17.56,degrees C,
23/11/2008,14:9:57,17.12,degrees C,,,,,,,
23/11/2008,14:9:57,,,18.11,degrees C,,,,,
23/11/2008,14:9:57,,,,,,,16.69,degrees C,
23/11/2008,14:9:58,17.12,degrees C,,,,,,,
23/11/2008,14:9:58,,,18.11,degrees C,,,,,
23/11/2008,14:9:58,,,,,,,17.56,degrees C,
23/11/2008,14:9:59,17.12,degrees C,,,,,,,
23/11/2008,14:9:59,,,18.11,degrees C,,,,,
23/11/2008,14:9:59,,,,,,,16.63,degrees C,
23/11/2008,14:10:0,17.12,degrees C,,,,,,,
23/11/2008,14:10:0,,,18.11,degrees C,,,,,
23/11/2008,14:10:0,,,,,,,17.56,degrees C,
23/11/2008,14:10:1,17.12,degrees C,,,,,,,
23/11/2008,14:10:1,,,18.11,degrees C,,,,,
23/11/2008,14:10:1,,,,,,,16.63,degrees C,
23/11/2008,14:10:2,17.12,degrees C,,,,,,,
23/11/2008,14:10:2,,,18.11,degrees C,,,,,
23/11/2008,14:10:2,,,,,,,17.62,degrees C,
23/11/2008,14:10:3,17.12,degrees C,,,,,,,
23/11/2008,14:10:3,,,18.11,degrees C,,,,,
23/11/2008,14:10:3,,,,,,,16.63,degrees C,
23/11/2008,14:10:4,17.12,degrees C,,,,,,,
23/11/2008,14:10:4,,,18.11,degrees C,,,,,
23/11/2008,14:10:4,,,,,,,17.62,degrees C,
23/11/2008,14:10:5,17.12,degrees C,,,,,,,
23/11/2008,14:10:5,,,18.11,degrees C,,,,,
23/11/2008,14:10:5,,,,,,,17.62,degrees C,
23/11/2008,14:10:6,17.12,degrees C,,,,,,,
23/11/2008,14:10:6,,,18.11,degrees C,,,,,
23/11/2008,14:10:6,,,,,,,17.80,degrees C,
23/11/2008,14:10:7,17.12,degrees C,,,,,,,
23/11/2008,14:10:7,,,18.11,degrees C,,,,,
23/11/2008,14:10:8,,,,,,,18.30,degrees C,
23/11/2008,14:10:8,17.12,degrees C,,,,,,,
23/11/2008,14:10:8,,,,,17.62,degrees C,,,
23/11/2008,14:10:8,,,18.11,degrees C,,,,,
23/11/2008,14:10:9,,,,,,,19.99,degrees C,
23/11/2008,14:10:9,17.12,degrees C,,,,,,,
23/11/2008,14:10:9,,,,,17.62,degrees C,,,
23/11/2008,14:10:9,,,18.18,degrees C,,,,,
23/11/2008,14:10:10,,,,,,,20.40,degrees C,
23/11/2008,14:10:10,17.12,degrees C,,,,,,,
23/11/2008,14:10:10,,,,,17.62,degrees C,,,
23/11/2008,14:10:10,,,18.18,degrees C,,,,,
23/11/2008,14:10:11,,,,,,,20.60,degrees C,
23/11/2008,14:10:11,17.12,degrees C,,,,,,,
23/11/2008,14:10:11,,,,,17.62,degrees C,,,
23/11/2008,14:10:11,,,18.24,degrees C,,,,,
23/11/2008,14:10:12,,,,,,,20.74,degrees C,
23/11/2008,14:10:12,17.12,degrees C,,,,,,,
23/11/2008,14:10:12,,,,,17.62,degrees C,,,
23/11/2008,14:10:12,,,18.24,degrees C,,,,,
23/11/2008,14:10:13,,,,,,,21.16,degrees C,
23/11/2008,14:10:13,17.12,degrees C,,,,,,,
23/11/2008,14:10:13,,,,,17.62,degrees C,,,
23/11/2008,14:10:13,,,18.18,degrees C,,,,,
23/11/2008,14:10:14,,,,,,,22.35,degrees C,
23/11/2008,14:10:14,17.12,degrees C,,,,,,,
23/11/2008,14:10:14,,,,,17.62,degrees C,,,
23/11/2008,14:10:14,,,18.18,degrees C,,,,,
